# Case: R.ST0
# Station: 13
# X/H: 6.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,0.147,-0.052,17.58,12.81,-4.1,0.03,0.65,-0.11,-2.05
3,0.15,0.169,-0.061,19.5,15.02,-5.48,0.04,0.24,0.11,-1.31
4,0.2,0.188,-0.067,19.53,16.5,-6.79,-2.21,-1.7,1.31,0.58
5,0.3,0.248,-0.084,20.73,16.98,-7.86,-5.45,-4.28,3.36,3.25
6,0.4,0.306,-0.091,19.7,16.6,-8.23,-6.8,-5.78,4.97,5.6
7,0.5,0.369,-0.097,20.03,15.89,-8.24,-9.08,-7.74,7.14,6.87
8,0.6,0.435,-0.099,18.36,13.86,-7.36,-8.93,-6.86,6.5,6.48
9,0.7,0.501,-0.095,17.26,12.0,-6.57,-10.43,-7.51,7.32,7.26
10,0.8,0.569,-0.094,14.96,9.63,-5.06,-10.37,-5.91,6.2,5.55
11,0.9,0.632,-0.091,11.96,7.62,-3.79,-10.19,-4.74,5.11,4.09
12,1.0,0.686,-0.089,8.88,5.57,-2.8,-7.74,-3.45,3.55,2.93
13,1.1,0.73,-0.086,6.11,3.95,-1.76,-3.81,-1.72,1.93,1.87
14,1.15,0.747,-0.086,5.23,3.35,-1.51,-2.68,-1.23,1.39,1.33
15,1.2,0.763,-0.085,4.36,2.75,-1.25,-1.54,-0.74,0.84,0.79
16,1.3,0.794,-0.083,3.4,2.19,-0.8,-0.47,-0.23,0.25,0.44
17,1.4,0.815,-0.082,2.87,1.79,-0.65,-0.33,-0.12,0.2,0.25
18,1.5,0.834,-0.081,2.5,1.53,-0.61,-0.29,-0.1,0.14,0.14
19,1.7,0.869,-0.077,2.01,1.24,-0.43,-0.27,-0.1,0.13,0.13
20,2.0,0.915,-0.074,1.28,0.8,-0.21,-0.22,-0.06,0.08,0.04
21,2.4,0.949,-0.066,0.53,0.44,-0.04,-0.01,0.0,0.01,0.02
22,2.8,0.954,-0.06,0.42,0.33,0.03,0.02,0.02,0.0,0.0
23,3.2,0.956,-0.054,0.41,0.33,0.03,0.02,0.02,0.01,0.0
24,3.6,0.959,-0.05,0.39,0.31,0.03,0.03,0.02,0.0,0.0
25,4.0,0.961,-0.046,0.38,0.29,0.02,0.03,0.02,0.0,0.01
26,5.0,0.963,-0.04,0.38,0.3,0.02,0.02,0.02,0.0,0.0
27,6.0,0.965,-0.035,0.38,0.31,0.02,0.02,0.02,0.0,-0.01
28,7.5,0.969,-0.027,0.42,0.34,0.03,0.02,0.01,0.0,0.0
29,8.2,0.87,-0.018,2.75,1.84,0.76,-0.55,-0.2,-0.2,-0.11
