# Case: R.ST0
# Station: 5
# X/H: 1.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.008,-0.005,3.18,2.94,-0.72,0.0,-0.35,0.14,0.19
3,0.15,-0.017,-0.004,4.71,3.22,0.46,-0.46,-0.14,0.15,0.06
4,0.2,-0.027,-0.001,5.04,3.29,0.21,-0.38,-0.11,0.22,-0.01
5,0.3,-0.035,0.004,5.12,3.49,-0.14,-0.31,-0.21,0.31,0.05
6,0.4,-0.035,0.014,4.5,3.67,-0.43,-0.33,-0.24,0.33,0.31
7,0.5,-0.035,0.022,4.94,2.9,-0.65,-0.48,-0.25,0.32,0.2
8,0.6,-0.027,0.028,4.56,3.0,-0.74,-0.61,-0.23,0.28,0.18
9,0.7,-0.005,0.025,5.03,3.44,-0.92,-0.39,-0.15,-0.1,-0.04
10,0.8,0.081,0.006,9.24,7.38,-3.71,2.63,2.22,-2.73,-2.24
11,0.9,0.292,-0.027,13.8,11.77,-7.05,1.18,0.94,-0.65,-1.0
12,1.0,0.519,-0.033,13.93,10.41,-5.85,-4.18,-2.73,2.91,2.32
13,1.1,0.704,-0.023,6.18,3.79,-1.54,-1.19,-0.49,0.45,0.62
14,1.15,0.74,-0.022,4.87,2.84,-1.25,-0.07,-0.16,0.12,0.25
15,1.2,0.762,-0.023,4.27,2.51,-1.05,-0.21,-0.11,0.09,0.24
16,1.3,0.793,-0.031,3.87,2.26,-0.98,-0.22,-0.11,0.14,0.16
17,1.4,0.827,-0.027,3.38,2.05,-0.82,-0.26,-0.09,0.13,0.15
18,1.5,0.851,-0.031,3.08,1.98,-0.81,-0.26,-0.11,0.14,0.13
19,1.7,0.891,-0.034,2.49,1.57,-0.64,-0.25,-0.11,0.09,0.09
20,2.0,0.942,-0.033,1.76,1.21,-0.44,-0.24,-0.09,0.11,0.09
21,2.4,0.99,-0.031,0.91,0.67,-0.12,-0.11,-0.04,0.05,0.04
22,2.8,1.009,-0.028,0.45,0.36,0.01,0.01,0.01,0.0,0.01
23,3.2,1.003,-0.028,0.41,0.33,0.04,0.02,0.02,0.0,0.0
24,3.6,1.002,-0.026,0.4,0.33,0.03,0.01,0.01,0.0,0.0
25,4.0,1.0,-0.028,0.38,0.3,0.03,0.02,0.01,0.0,0.0
26,5.0,0.997,-0.027,0.36,0.29,0.01,0.02,0.01,0.0,0.0
27,6.0,0.994,-0.027,0.33,0.27,-0.01,0.01,0.01,-0.01,-0.01
28,7.5,0.993,-0.025,0.36,0.3,0.01,0.01,0.01,0.0,0.0
29,8.2,0.919,-0.013,1.83,1.56,0.59,-0.3,-0.19,-0.15,-0.14
