# Case: R.ST0
# Station: 1
# X/H: -4.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
13,1.1,0.657,0.0,5.16,2.7,-1.02,-0.18,-0.14,0.12,0.22
14,1.15,0.696,0.0,5.26,2.19,-1.01,-0.29,-0.12,0.11,0.22
15,1.2,0.719,0.001,4.67,2.23,-1.07,-0.36,-0.13,0.19,0.16
16,1.3,0.76,0.0,3.86,2.32,-1.07,-0.36,-0.17,0.18,0.14
17,1.4,0.79,0.001,3.49,2.1,-0.97,-0.17,-0.03,0.02,0.07
18,1.5,0.818,-0.001,3.06,2.05,-0.92,-0.15,-0.12,0.11,0.13
19,1.7,0.87,0.0,2.58,1.64,-0.71,-0.25,-0.13,0.14,0.13
20,2.0,0.926,0.0,1.8,1.18,-0.44,-0.23,-0.1,0.1,0.11
21,2.4,0.982,0.003,0.86,0.63,-0.1,-0.12,-0.06,0.05,0.04
22,2.8,1.003,0.007,0.42,0.32,0.02,0.02,0.01,0.0,0.0
23,3.2,1.003,0.006,0.39,0.3,0.03,0.03,0.02,0.0,0.01
24,3.6,1.0,0.006,0.37,0.28,0.04,0.02,0.01,0.0,0.0
25,4.0,1.001,0.003,0.37,0.28,0.03,0.02,0.01,-0.01,0.0
26,5.0,1.001,0.0,0.37,0.27,0.03,0.02,0.01,-0.01,0.0
27,6.0,1.0,-0.004,0.36,0.26,0.04,0.01,0.01,-0.01,0.0
28,7.5,1.001,-0.006,0.37,0.28,0.04,0.02,0.01,0.0,0.0
29,8.2,0.943,0.002,1.6,1.28,0.46,-0.28,-0.17,-0.13,-0.08
